"","E1A_profile","E1B_profile","E1C_profile","E2A_profile","E2B_profile","E3A_profile","E3B_profile","E3C_profile","E3D_profile","E4A_profile","E1A_sd","E1B_sd","E1C_sd","E2A_sd","E2B_sd","E3A_sd","E3B_sd","E3C_sd","E3D_sd","E4A_sd"
"05:15",1.36655342465753e-05,1.49981917808219e-05,1.3393095890411e-05,1.48890684931507e-05,1.72288493150685e-05,1.78307671232877e-05,1.9977698630137e-05,1.9977698630137e-05,2.56997808219178e-05,5.12788767123288e-05,5.97578034864503e-07,1.32292051892123e-06,8.8398790710091e-07,1.63667100758034e-06,1.31237758896702e-06,2.68020818098551e-06,1.41757693247179e-06,1.41757693247179e-06,6.7738464097512e-07,2.00429959156115e-05
"05:30",1.39695616438356e-05,1.52932054794521e-05,1.35511506849315e-05,1.52226849315068e-05,1.78019452054795e-05,1.8004301369863e-05,2.01937260273973e-05,2.01937260273973e-05,2.58993150684931e-05,4.77066575342466e-05,7.43485128961099e-07,1.44693665572622e-06,9.60927489106012e-07,1.74112346007007e-06,1.46931033282019e-06,2.8275933087903e-06,1.61661202217084e-06,1.61661202217084e-06,7.75165577433075e-07,2.35138320247793e-05
"05:45",1.44465479452055e-05,1.57871232876712e-05,1.38455890410959e-05,1.56223835616438e-05,1.85331506849315e-05,1.82990684931507e-05,2.05494794520548e-05,2.05494794520548e-05,2.6424301369863e-05,4.46764109589041e-05,1.00863885325415e-06,1.66262856187376e-06,1.09896754538687e-06,1.87736519416349e-06,1.68220116519954e-06,2.99459920601012e-06,1.90252160685474e-06,1.90252160685474e-06,7.77619901445746e-07,2.55976449701425e-05
"06:00",1.51203287671233e-05,1.6507095890411e-05,1.43674246575342e-05,1.61696438356164e-05,1.93101369863014e-05,1.88144657534247e-05,2.10244931506849e-05,2.10244931506849e-05,2.6995095890411e-05,4.17353424657534e-05,1.38605710099535e-06,2.03082652586143e-06,1.31362929352954e-06,2.11103865749961e-06,1.92762087401295e-06,3.2843802921338e-06,2.22055200000038e-06,2.22055200000038e-06,8.15958146490201e-07,2.69875040315361e-05
"06:15",1.60060821917808e-05,1.74280547945205e-05,1.50884931506849e-05,1.68826575342466e-05,2.02422191780822e-05,1.94651232876712e-05,2.16002739726027e-05,2.16002739726027e-05,2.75501095890411e-05,3.82136438356164e-05,1.86497142064412e-06,2.58276627772258e-06,1.67651937914888e-06,2.48167156213007e-06,2.21982742527045e-06,3.67364317460458e-06,2.57621771730003e-06,2.57621771730003e-06,8.86808073590797e-07,2.81044819200368e-05
"06:30",1.71458904109589e-05,1.85450410958904e-05,1.61486301369863e-05,1.78455068493151e-05,2.13727671232877e-05,2.04162465753425e-05,2.22723561643836e-05,2.22723561643836e-05,2.81146849315068e-05,3.45119178082192e-05,2.45986846093447e-06,3.2965180283056e-06,2.2424396270485e-06,3.08591804746897e-06,2.55938431878134e-06,4.2014614666229e-06,2.95921413206139e-06,2.95921413206139e-06,9.70937703503939e-07,2.89254892945183e-05
"06:45",1.8502602739726e-05,1.9830301369863e-05,1.74811780821918e-05,1.90886849315069e-05,2.27636438356164e-05,2.19562191780822e-05,2.33278630136986e-05,2.33278630136986e-05,2.87627397260274e-05,3.08296712328767e-05,3.11254499389221e-06,4.07979680154462e-06,2.98695138115177e-06,3.86874314740188e-06,2.99902853029872e-06,4.95728805869539e-06,3.48768442859885e-06,3.48768442859885e-06,1.01591816896214e-06,2.92511180757732e-05
"07:00",2.00061917808219e-05,2.1203397260274e-05,1.89908219178082e-05,2.08080273972603e-05,2.41626301369863e-05,2.39587397260274e-05,2.45945753424658e-05,2.45945753424658e-05,2.93750136986301e-05,2.69932328767123e-05,3.73006319606459e-06,4.80181650249349e-06,3.75678125082513e-06,4.81631823833036e-06,3.45490504754484e-06,6.00040315043795e-06,4.13537309104482e-06,4.13537309104482e-06,1.05730000957694e-06,2.89988871984868e-05
"07:15",2.14999178082192e-05,2.24325753424658e-05,2.04754794520548e-05,2.3035397260274e-05,2.55367671232877e-05,2.65955342465753e-05,2.61435068493151e-05,2.61435068493151e-05,2.96504109589041e-05,2.29405479452055e-05,4.16356728967403e-06,5.26834079933728e-06,4.36288147080406e-06,6.00209383506602e-06,3.96904138549792e-06,7.45332104250834e-06,4.94238722829121e-06,4.94238722829121e-06,1.08184320525605e-06,2.82763643043154e-05
"07:30",2.29071506849315e-05,2.34853150684932e-05,2.18053698630137e-05,2.53980273972603e-05,2.68255616438356e-05,2.93311506849315e-05,2.77458904109589e-05,2.77458904109589e-05,2.98747945205479e-05,1.88985205479452e-05,4.36134690252389e-06,5.42537219282501e-06,4.64325603212428e-06,7.28754258082786e-06,4.50249101074299e-06,9.03189444987071e-06,5.81754886727409e-06,5.81754886727409e-06,1.11307305229716e-06,2.6908683389591e-05
